id;name;code;description
1;Tuna;input;Licensed
2;engineer;forecast bluetooth;Berkshire invoice
3;Universal Unbranded Cotton Mouse Afghanistan;Awesome;Upgradable value-added
4;Arizona users;Massachusetts concept payment;back-end Frozen policy
5;redundant solid state user-facing;Fully-configurable;cross-media USB synthesize
6;Rustic Concrete Tuna parallelism;Convertible Marks Checking Account;zero defect
7;deposit generate;Communications indigo Auto Loan Account;Auto Loan Account world-class
8;paradigms Malawi;Kids;redundant haptic Soap
9;Robust payment;Serbian Dinar Summit Representative;Kids Division
10;Principal Concrete Hills;Factors Brazilian Real;orchid
