id;name;type;goal_period;completion_goal;is_group_tracking;note_text;motivate_text;is_reminder
1;Division Corporate;QUIT;WEEKLY;5346;true;payment Front-line withdrawal;end-to-end Music;true
2;utilisation interactive;QUIT;YEARLY;9117;true;Personal Loan Account zero administration;Singapore Dollar Sleek Metal Gloves;false
3;Cheese Computer Dynamic;BUILD;YEARLY;92474;false;Engineer Intelligent Metal;Credit Card Account Lead Refined Fresh Fish;false
4;yellow Group;QUIT;YEARLY;39220;false;reboot;productivity;true
5;Hawaii robust RAM;BUILD;WEEKLY;98022;false;Associate Associate;Drive cross-platform circuit;true
6;reinvent infrastructures generating;BUILD;YEARLY;28917;false;Personal Loan Account alarm;Auto Loan Account Automotive bluetooth;true
7;Health;BUILD;YEARLY;94851;true;next-generation;Response Awesome Granite Towels;true
8;Awesome;BUILD;YEARLY;90404;true;online;capacitor Oval;true
9;compressing Concrete virtual;QUIT;YEARLY;61330;true;payment Circles;Soap SMTP;false
10;Automotive;BUILD;WEEKLY;17574;true;Credit Card Account;SAS;false
