id;day_of_week;start_time;end_time
1;19037;2020-03-13T09:17:13;2020-03-13T20:38:42
2;57729;2020-03-13T19:51:07;2020-03-13T21:17:20
3;14746;2020-03-13T05:20:41;2020-03-13T04:22:49
4;30304;2020-03-14T00:44:06;2020-03-13T11:27:33
5;11757;2020-03-13T02:31:36;2020-03-13T15:12:29
6;13874;2020-03-13T23:37:42;2020-03-13T23:55:16
7;89801;2020-03-13T05:14:19;2020-03-14T00:51:49
8;90457;2020-03-13T01:21:46;2020-03-13T11:14:11
9;12818;2020-03-13T03:52:18;2020-03-14T00:32:21
10;18343;2020-03-13T17:29:27;2020-03-13T11:06:09
